GCA_002719095.1_ASM271909v1	d__Bacteria_p__Marinisomatota_c__Marinisomatia_o__SCGC-AAA003-L08_f__GCA-002719095_g__GCA-002719095_s__GCA-002719095
GCA_002689995.1_ASM268999v1	d__Bacteria_p__Marinisomatota_c__Marinisomatia_o__SCGC-AAA003-L08_f__GCA-2689995_g__GCA-2689995_s__GCA-2689995
GCA_002718595.1_ASM271859v1	d__Bacteria_p__Gemmatimonadota_c__Gemmatimonadetes_o__SG8-23_f__UBA6960_g__GCA-2718595_s__GCA-2718595
GCA_002238605.1_ASM223860v1	d__Bacteria_p__Gemmatimonadota_c__Gemmatimonadetes_o__SG8-23_f__UBA6960_g__BD2-11_s__BD2-11
GCA_002238865.1_ASM223886v1	d__Bacteria_p__Gemmatimonadota_c__Gemmatimonadetes_o__SG8-23_f__UBA6960_g__Bin94_s__Bin94
GCA_002709665.1_ASM270966v1	d__Bacteria_p__Latescibacterota_c__UBA2968_o__UBA2968_f__GCA-2709665_g__GCA-2709665_s__GCA-2709665
GCA_002697225.1_ASM269722v1	d__Bacteria_p__Poribacteria_c__WGA-4E_o__WGA-4E_f__UBA9662_g__UBA9662_s__UBA9662
GCA_002709695.1_ASM270969v1	d__Bacteria_p__Poribacteria_c__WGA-4E_o__WGA-4E_f__UBA9662_g__UBA9662_s__UBA9662
GCA_002691715.1_ASM269171v1	d__Bacteria_p__Poribacteria_c__WGA-4E_o__WGA-4E_f__UBA9662_g__TMED15_s__TMED15
GCA_002697285.1_ASM269728v1	d__Bacteria_p__Poribacteria_c__WGA-4E_o__WGA-4E_f__UBA9662_g__TMED15_s__TMED15
GCA_002721135.1_ASM272113v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Pseudomonadaceae_g__Pseudomonas_A_s__Pseudomonas_A
GCA_002709345.1_ASM270934v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Pseudomonadaceae_g__Pseudomonas_A_s__Pseudomonas_A
GCA_002697375.1_ASM269737v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Pseudomonadaceae_g__Pseudomonas_D_s__Pseudomonas_D
GCA_002697735.1_ASM269773v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Halomonadaceae_g__Halomonas_s__Halomonas
GCA_002721215.1_ASM272121v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Halomonadaceae_g__Cobetia_s__Cobetia
GCA_002701445.1_ASM270144v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Saccharospirillaceae_g__Oleibacter_s__Oleibacter
GCA_002717955.1_ASM271795v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Oleiphilaceae_g__Tamilnaduibacter_s__Tamilnaduibacter
GCA_002705545.1_ASM270554v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Porticoccaceae_g__HTCC2207_s__HTCC2207
GCA_002720735.1_ASM272073v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Porticoccaceae_g__TMED48_s__TMED48
GCA_002591625.1_ASM259162v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Porticoccaceae_g__TMED48_s__TMED48
GCA_002702725.1_ASM270272v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Porticoccaceae_g__BRH-c0_s__BRH-c0
GCA_002704305.1_ASM270430v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Halieaceae_g__Luminiphilus_s__Luminiphilus
GCA_002721785.1_ASM272178v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Halieaceae_g__Luminiphilus_s__Luminiphilus
GCA_002699145.1_ASM269914v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Halieaceae_g__Halioglobus_s__Halioglobus
GCA_002723335.1_ASM272333v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Halieaceae_g__Haliea_s__Haliea
GCA_002723235.1_ASM272323v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Spongiibacteraceae_g__UBA5047_s__UBA5047
GCA_002704225.1_ASM270422v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__HTCC2089_g__UBA4421_s__UBA4421
GCA_002717125.1_ASM271712v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__HTCC2089_g__UBA2965_s__UBA2965
GCA_002689445.1_ASM268944v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__HTCC2089_g__UBA9926_s__UBA9926
GCA_002697205.1_ASM269720v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__HTCC2089_g__GCA-2697205_s__GCA-2697205
GCA_002690865.1_ASM269086v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__HTCC2089_g__UBA7455_s__UBA7455
GCA_002700945.1_ASM270094v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__HTCC2089_g__UBA7451_s__UBA7451
GCA_002705145.1_ASM270514v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Pseudohongiellaceae_g__UBA9145_s__UBA9145
GCA_002705325.1_ASM270532v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Litoricolaceae_g__Litoricola_s__Litoricola
GCA_002705795.1_ASM270579v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Litoricolaceae_g__Litoricola_s__Litoricola
GCA_002716245.1_ASM271624v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Alcanivoracaceae_g__Alcanivorax_s__Alcanivorax
GCA_002719735.1_ASM271973v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Alcanivoracaceae_g__Alcanivorax_s__Alcanivorax
GCA_002703665.1_ASM270366v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Alcanivoracaceae_g__Alcanivorax_s__Alcanivorax
GCA_002715685.1_ASM271568v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Alcanivoracaceae_g__Alcanivorax_s__Alcanivorax
GCA_002701315.1_ASM270131v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Ketobacteraceae_g__Ketobacter_s__Ketobacter
GCA_002708905.1_ASM270890v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Ketobacteraceae_g__Ketobacter_s__Ketobacter
GCA_002701845.1_ASM270184v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Pseudomonadales_f__Ketobacteraceae_g__GCA-2701845_s__GCA-2701845
GCA_002689965.1_ASM268996v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacterales_f__Alteromonadaceae_g__Pseudoalteromonas_s__Pseudoalteromonas
GCA_002691125.1_ASM269112v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacterales_f__Alteromonadaceae_g__Alteromonas_s__Alteromonas
GCA_002691625.1_ASM269162v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacterales_f__Alteromonadaceae_g__Alteromonas_A_s__Alteromonas_A
GCA_002723205.1_ASM272320v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacterales_f__Alteromonadaceae_g__Paraglaciecola_s__Paraglaciecola
GCA_002718115.1_ASM271811v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacterales_f__Alteromonadaceae_g__Idiomarina_s__Idiomarina
GCA_002721595.1_ASM272159v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Enterobacterales_f__Alteromonadaceae_g__Idiomarina_s__Idiomarina
GCA_002719855.1_ASM271985v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Legionellales_f__Legionellaceae_g__GCA-2863045_s__GCA-2863045
GCA_002709565.1_ASM270956v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__UBA1113_f__UBA1113_g__GCA-2709565_s__GCA-2709565
GCA_002718345.1_ASM271834v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__UBA6522_f__UBA6522_g__UBA6522_s__UBA6522
GCA_002716545.1_ASM271654v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Methylococcales_f__Cycloclasticaceae_g__Cycloclasticus_s__Cycloclasticus
GCA_002700385.1_ASM270038v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Methylococcales_f__Cycloclasticaceae_g__Cycloclasticus_s__Cycloclasticus
GCA_002722965.1_ASM272296v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Nitrosococcales_f__Methylophagaceae_g__Methylophaga_s__Methylophaga
GCA_002721545.1_ASM272154v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__Burkholderiales_f__Nitrosomonadaceae_g__GCA-2721545_s__GCA-2721545
GCA_002718155.1_ASM271815v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__UBA10353_f__LS-SOB_g__UBA9619_s__UBA9619
GCA_002721105.1_ASM272110v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__UBA10353_f__LS-SOB_g__GCA-2721105_s__GCA-2721105
GCA_002691465.1_ASM269146v1	d__Bacteria_p__Proteobacteria_c__Gammaproteobacteria_o__UBA11654_f__UBA11654_g__UBA11654_s__UBA11654
GCA_002699305.1_ASM269930v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Rhizobiaceae_g__Martelella_s__Martelella
GCA_002697745.1_ASM269774v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Rhizobiaceae_g__Nitratireductor_s__Nitratireductor
GCA_002708825.1_ASM270882v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Rhizobiaceae_g__Notoacmeibacter_s__Notoacmeibacter
GCA_002710865.1_ASM271086v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Rhizobiaceae_g__Notoacmeibacter_s__Notoacmeibacter
GCA_002698425.1_ASM269842v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Rhizobiaceae_g__Ahrensia_s__Ahrensia
GCA_002700095.1_ASM270009v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Rhizobiaceae_g__Fulvimarina_s__Fulvimarina
GCA_002723255.1_ASM272325v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Devosiaceae_g__Pelagibacterium_s__Pelagibacterium
GCA_900143555.1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Stappiaceae_g__Labrenzia_s__Labrenzia
GCA_002722295.1_ASM272229v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Stappiaceae_g__Stappia_s__Stappia
GCA_900143565.1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Stappiaceae_g__Pseudovibrio_s__Pseudovibrio
GCA_002689225.1_ASM268922v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Xanthobacteraceae_g__Afipia_s__Afipia
GCA_002689605.1_ASM268960v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Hyphomicrobiaceae_g__GCA-2689605_s__GCA-2689605
GCA_900149695.1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__Anderseniellaceae_g__Anderseniella_s__Anderseniella
GCA_002700515.1_ASM270051v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__TMED25_g__MED-G09_s__MED-G09
GCA_002700505.1_ASM270050v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__TMED25_g__TMED25_s__TMED25
GCA_002704755.1_ASM270475v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__TMED25_g__TMED25_s__TMED25
GCA_002700545.1_ASM270054v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__TMED25_g__TMED25_s__TMED25
GCA_002716505.1_ASM271650v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhizobiales_f__TMED25_g__TMED25_s__TMED25
GCA_002715765.1_ASM271576v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Parvibaculales_f__Parvibaculaceae_g__Mf105b01_s__Mf105b01
GCA_002700265.1_ASM270026v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Parvibaculales_f__Parvibaculaceae_g__Parvibaculum_s__Parvibaculum
GCA_002689195.1_ASM268919v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Parvibaculales_f__RS24_g__UBA7378_s__UBA7378
GCA_002721725.1_ASM272172v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Parvibaculales_f__RS24_g__UBA8337_s__UBA8337
GCA_900143635.1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__FREY01_s__FREY01
GCA_900143525.1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Ruegeria_s__Ruegeria
GCA_002709405.1_ASM270940v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Marinibacterium_s__Marinibacterium
GCA_002716265.1_ASM271626v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Sulfitobacter_s__Sulfitobacter
GCA_002691425.1_ASM269142v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Sulfitobacter_s__Sulfitobacter
GCA_002708965.1_ASM270896v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Sulfitobacter_s__Sulfitobacter
GCA_900143535.1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Tateyamaria_s__Tateyamaria
GCA_900143615.1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Shimia_s__Shimia
GCA_002702835.1_ASM270283v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Roseovarius_s__Roseovarius
GCA_002700325.1_ASM270032v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Salipiger_s__Salipiger
GCA_002691545.1_ASM269154v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__HIMB11_s__HIMB11
GCA_900143545.1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Yoonia_s__Yoonia
GCA_002701395.1_ASM270139v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Rhodobacter_B_s__Rhodobacter_B
GCA_002708795.1_ASM270879v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Paracoccus_s__Paracoccus
GCA_002697245.1_ASM269724v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Thioclava_s__Thioclava
GCA_002699695.2_ASM269969v2	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__GCA-002705045_s__GCA-002705045
GCA_002705045.2_ASM270504v2	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__GCA-002705045_s__GCA-002705045
GCA_002238565.1_ASM223856v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Bin36_s__Bin36
GCA_002239085.1_ASM223908v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Bin36_s__Bin36
GCA_002697785.1_ASM269778v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__Rhodobacteraceae_g__Albimonas_s__Albimonas
GCA_002704505.1_ASM270450v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodobacterales_f__UBA8317_g__UBA8317_s__UBA8317
GCA_002689395.1_ASM268939v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Caulobacterales_f__Hyphomonadaceae_g__Hyphomonas_s__Hyphomonas
GCA_002700305.1_ASM270030v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Caulobacterales_f__Hyphomonadaceae_g__Hyphomonas_s__Hyphomonas
GCA_002722805.1_ASM272280v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Caulobacterales_f__Hyphomonadaceae_g__Hyphomonas_s__Hyphomonas
GCA_002709595.1_ASM270959v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Caulobacterales_f__Hyphomonadaceae_g__Hyphomonas_s__Hyphomonas
GCA_002720235.1_ASM272023v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Caulobacterales_f__Hyphomonadaceae_g__Henriciella_s__Henriciella
GCA_002689825.1_ASM268982v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Caulobacterales_f__Hyphomonadaceae_g__Ponticaulis_s__Ponticaulis
GCA_002723155.1_ASM272315v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Caulobacterales_f__Hyphomonadaceae_g__Ponticaulis_s__Ponticaulis
GCA_002691215.1_ASM269121v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Caulobacterales_f__Hyphomonadaceae_g__Ponticaulis_s__Ponticaulis
GCA_002701295.1_ASM270129v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Caulobacterales_f__Hyphomonadaceae_g__Ponticaulis_s__Ponticaulis
GCA_002709235.1_ASM270923v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Caulobacterales_f__Hyphomonadaceae_g__Hirschia_s__Hirschia
GCA_002716175.1_ASM271617v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Caulobacterales_f__Maricaulaceae_g__Oceanicaulis_s__Oceanicaulis
GCA_002704915.1_ASM270491v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Caulobacterales_f__Parvularculaceae_g__Marinicaulis_s__Marinicaulis
GCA_900149685.1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Sphingomonadales_f__Sphingomonadaceae_g__Erythrobacter_s__Erythrobacter
GCA_002701305.1_ASM270130v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Sphingomonadales_f__Sphingomonadaceae_g__Erythrobacter_A_s__Erythrobacter_A
GCA_002723655.1_ASM272365v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Sphingomonadales_f__Sphingomonadaceae_g__Erythrobacter_A_s__Erythrobacter_A
GCA_002719495.1_ASM271949v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Sphingomonadales_f__Sphingomonadaceae_g__Erythrobacter_A_s__Erythrobacter_A
GCA_900149705.1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Sphingomonadales_f__Sphingomonadaceae_g__Sphingorhabdus_s__Sphingorhabdus
GCA_002700365.1_ASM270036v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Sphingomonadales_f__Emcibacteraceae_g__GCA-2700365_s__GCA-2700365
GCA_002717105.1_ASM271710v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__UBA2966_f__UBA2966_g__UBA2966_s__UBA2966
GCA_002238685.1_ASM223868v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__SP197_f__SP197_g__SP197_s__SP197
GCA_002722885.1_ASM272288v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__SP197_f__SP197_g__SP197_s__SP197
GCA_002709065.1_ASM270906v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Tistrellales_f__Tistrellaceae_g__Tistrella_s__Tistrella
GCA_002690485.1_ASM269048v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Micavibrionales_f__Micavibrionaceae_g__TMED27_s__TMED27
GCA_002716465.1_ASM271646v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Micavibrionales_f__Micavibrionaceae_g__UBA6929_s__UBA6929
GCA_002699085.1_ASM269908v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Micavibrionales_f__Micavibrionaceae_g__UBA9664_s__UBA9664
GCA_002697805.1_ASM269780v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Micavibrionales_f__TMED2_g__TMED2_s__TMED2
GCA_002691735.1_ASM269173v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Micavibrionales_f__TMED2_g__TMED2_s__TMED2
GCA_002690995.1_ASM269099v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Nisaeales_f__Nisaeaceae_g__GCA-002701455_s__GCA-002701455
GCA_002701455.1_ASM270145v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Nisaeales_f__Nisaeaceae_g__GCA-002701455_s__GCA-002701455
GCA_002238645.1_ASM223864v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Nisaeales_f__Nisaeaceae_g__Bin52_s__Bin52
GCA_002690685.1_ASM269068v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__TMED26_f__TMED26_g__TMED26_s__TMED26
GCA_002708995.1_ASM270899v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__UBA7985_f__UBA7985_g__UBA7985_s__UBA7985
GCA_002705565.1_ASM270556v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__UBA7985_f__UBA7985_g__UBA7985_s__UBA7985
GCA_002711555.1_ASM271155v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__UBA8366_f__UBA8366_g__UBA8366_s__UBA8366
GCA_002722095.1_ASM272209v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__UBA8366_f__UBA8366_g__UBA8366_s__UBA8366
GCA_002716125.1_ASM271612v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__UBA8366_f__UBA8366_g__UBA6544_s__UBA6544
GCA_002709955.1_ASM270995v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__UBA8366_f__GCA-2696645_g__GCA-2696645_s__GCA-2696645
GCA_002719885.1_ASM271988v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Defluviicoccales_f__UBA2964_g__UBA2964_s__UBA2964
GCA_002720855.1_ASM272085v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Defluviicoccales_f__UBA2964_g__GCA-2720855_s__GCA-2720855
GCA_002709075.1_ASM270907v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Defluviicoccales_f__UBA2964_g__GCA-2709075_s__GCA-2709075
GCA_002239065.1_ASM223906v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Defluviicoccales_f__Defluviicoccaceae_g__Defluviicoccus_s__Defluviicoccus
GCA_002717545.1_ASM271754v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__UBA6615_f__UBA6615_g__UBA6615_s__UBA6615
GCA_002238725.1_ASM223872v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Bin65_f__Bin65_g__Bin65_s__Bin65
GCA_002690705.1_ASM269070v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_A_f__UBA3470_g__TMED8_s__TMED8
GCA_002709525.1_ASM270952v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_A_f__UBA3470_g__UBA3470_s__UBA3470
GCA_002709445.1_ASM270944v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_A_f__UBA1479_g__UBA1479_s__UBA1479
GCA_002722175.1_ASM272217v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_A_f__GCA-2722175_g__GCA-2722175_s__GCA-2722175
GCA_002717285.1_ASM271728v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_A_f__2-02-FULL-58-16_A_g__GCA-2717285_s__GCA-2717285
GCA_002721295.1_ASM272129v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_A_f__UBA2165_g__GCA-002721295_s__GCA-002721295
GCA_002704405.1_ASM270440v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_A_f__UBA2165_g__TMED23_s__TMED23
GCA_002709775.1_ASM270977v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Rhodospirillales_A_f__Thalassospiraceae_g__Thalassospira_s__Thalassospira
GCA_002689305.1_ASM268930v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Puniceispirillales_f__UBA1172_g__UBA1172_s__UBA1172
GCA_002691725.1_ASM269172v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Puniceispirillales_f__UBA1172_g__UBA12202_s__UBA12202
GCA_002691795.1_ASM269179v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Puniceispirillales_f__AAA536-G10_g__TMED54_s__TMED54
GCA_002698075.1_ASM269807v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Puniceispirillales_f__AAA536-G10_g__AG-426-I14_s__AG-426-I14
GCA_002689925.1_ASM268992v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Pelagibacterales_f__Pelagibacteraceae_g__GCA-2689925_s__GCA-2689925
GCA_002722165.1_ASM272216v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Pelagibacterales_f__Pelagibacteraceae_g__HIMB114_s__HIMB114
GCA_002692055.1_ASM269205v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Pelagibacterales_f__Pelagibacteraceae_g__HIMB114_s__HIMB114
GCA_002691705.1_ASM269170v1	d__Bacteria_p__Proteobacteria_c__Alphaproteobacteria_o__Pelagibacterales_f__Pelagibacteraceae_g__GCA-002704185_s__GCA-002704185
