"proteins" "proteins"
"GCA_002717245.1_ASM271724v1_genomic" 1239 1239
"GCA_002718595.1_ASM271859v1_genomic" 1774 1774
"GCA_002723015.1_ASM272301v1_genomic" 3220 3220
"GCA_002719855.1_ASM271985v1_genomic" 1672 1672
"GCA_002720855.1_ASM272085v1_genomic" 3498 3498
"GCA_002720865.1_ASM272086v1_genomic" 4864 4864
"GCA_002722055.1_ASM272205v1_genomic" 2143 2143
"GCA_002718175.1_ASM271817v1_genomic" 3329 3329
"GCA_002722245.1_ASM272224v1_genomic" 2524 2524
"GCA_002709665.1_ASM270966v1_genomic" 4844 4844
"GCA_002719955.1_ASM271995v1_genomic" 5188 5188
"GCA_002708905.1_ASM270890v1_genomic" 4794 4794
"GCA_002723085.1_ASM272308v1_genomic" 2152 2152
"GCA_002720975.1_ASM272097v1_genomic" 2815 2815
"GCA_002716265.1_ASM271626v1_genomic" 2911 2911
"GCA_002717285.1_ASM271728v1_genomic" 1901 1901
"GCA_002709445.1_ASM270944v1_genomic" 3737 3737
"GCA_002721545.1_ASM272154v1_genomic" 1875 1875
"GCA_002716465.1_ASM271646v1_genomic" 1718 1718
"GCA_002709695.1_ASM270969v1_genomic" 4303 4303
"GCA_002718645.1_ASM271864v1_genomic" 1553 1553
"GCA_002719195.1_ASM271919v1_genomic" 1538 1538
"GCA_002716175.1_ASM271617v1_genomic" 3321 3321
"GCA_002719095.1_ASM271909v1_genomic" 1353 1353
"GCA_002719335.1_ASM271933v1_genomic" 2338 2338
"GCA_002709525.1_ASM270952v1_genomic" 2966 2966
"GCA_002709775.1_ASM270977v1_genomic" 3934 3934
"GCA_002720745.1_ASM272074v1_genomic" 1829 1829
"GCA_002709075.1_ASM270907v1_genomic" 2371 2371
"GCA_002708935.1_ASM270893v1_genomic" 2374 2374
"GCA_002722795.1_ASM272279v1_genomic" 1517 1517
"GCA_002719315.1_ASM271931v1_genomic" 1879 1879
"GCA_002720735.1_ASM272073v1_genomic" 1890 1890
"GCA_002722565.1_ASM272256v1_genomic" 2432 2432
"GCA_002709235.1_ASM270923v1_genomic" 3584 3584
"GCA_002723075.1_ASM272307v1_genomic" 1490 1490
"GCA_002723335.1_ASM272333v1_genomic" 3497 3497
"GCA_002717045.1_ASM271704v1_genomic" 2681 2681
"GCA_002715705.1_ASM271570v1_genomic" 1363 1363
"GCA_002718515.1_ASM271851v1_genomic" 1787 1787
"GCA_002723235.1_ASM272323v1_genomic" 4094 4094
"GCA_002722175.1_ASM272217v1_genomic" 2558 2558
"GCA_002719495.1_ASM271949v1_genomic" 2645 2645
"GCA_002591625.1_ASM259162v1_genomic" 2315 2315
"GCA_002717895.1_ASM271789v1_genomic" 2995 2995
"GCA_002709345.1_ASM270934v1_genomic" 4018 4018
"GCA_002720175.1_ASM272017v1_genomic" 3559 3559
"GCA_002709915.1_ASM270991v1_genomic" 2843 2843
"GCA_002708965.1_ASM270896v1_genomic" 3517 3517
"GCA_002718815.1_ASM271881v1_genomic" 4778 4778
"GCA_002708845.1_ASM270884v1_genomic" 3682 3682
"GCA_002716005.1_ASM271600v1_genomic" 3276 3276
"GCA_002708995.1_ASM270899v1_genomic" 2357 2357
"GCA_002716345.1_ASM271634v1_genomic" 1368 1368
"GCA_002719675.1_ASM271967v1_genomic" 1357 1357
"GCA_002717465.1_ASM271746v1_genomic" 1919 1919
"GCA_002722155.1_ASM272215v1_genomic" 1620 1620
"GCA_002711455.1_ASM271145v1_genomic" 3160 3160
"GCA_002722295.1_ASM272229v1_genomic" 4380 4380
"GCA_002721615.1_ASM272161v1_genomic" 1496 1496
"GCA_002721895.1_ASM272189v1_genomic" 3199 3199
"GCA_002722965.1_ASM272296v1_genomic" 3108 3108
"GCA_002715265.1_ASM271526v1_genomic" 1720 1720
"GCA_002711525.1_ASM271152v1_genomic" 2641 2641
"GCA_002719885.1_ASM271988v1_genomic" 2735 2735
"GCA_002709405.1_ASM270940v1_genomic" 5096 5096
"GCA_002716225.1_ASM271622v1_genomic" 2710 2710
"GCA_002711555.1_ASM271155v1_genomic" 2546 2546
"GCA_002709385.1_ASM270938v1_genomic" 2496 2496
"GCA_002721995.1_ASM272199v1_genomic" 2546 2546
"GCA_002715505.1_ASM271550v1_genomic" 1782 1782
"GCA_002721785.1_ASM272178v1_genomic" 2579 2579
"GCA_002708985.1_ASM270898v1_genomic" 1750 1750
"GCA_002709295.1_ASM270929v1_genomic" 3027 3027
"GCA_002718095.1_ASM271809v1_genomic" 1442 1442
"GCA_002722095.1_ASM272209v1_genomic" 3675 3675
"GCA_002715825.1_ASM271582v1_genomic" 2799 2799
"GCA_002722165.1_ASM272216v1_genomic" 1318 1318
"GCA_002718115.1_ASM271811v1_genomic" 2531 2531
"GCA_002708825.1_ASM270882v1_genomic" 4526 4526
"GCA_002723205.1_ASM272320v1_genomic" 4908 4908
"GCA_002721695.1_ASM272169v1_genomic" 3069 3069
"GCA_002723125.1_ASM272312v1_genomic" 1656 1656
"GCA_002715765.1_ASM271576v1_genomic" 3471 3471
"GCA_002715585.1_ASM271558v1_genomic" 1968 1968
"GCA_002716625.1_ASM271662v1_genomic" 2878 2878
"GCA_002717205.1_ASM271720v1_genomic" 1826 1826
"GCA_002721815.1_ASM272181v1_genomic" 3569 3569
"GCA_002716505.1_ASM271650v1_genomic" 1655 1655
"GCA_002718585.1_ASM271858v1_genomic" 1385 1385
"GCA_002722805.1_ASM272280v1_genomic" 3620 3620
"GCA_002720045.1_ASM272004v1_genomic" 2662 2662
"GCA_002716045.1_ASM271604v1_genomic" 3158 3158
"GCA_002716065.1_ASM271606v1_genomic" 2050 2050
"GCA_002722335.1_ASM272233v1_genomic" 2315 2315
"GCA_002715605.1_ASM271560v1_genomic" 4218 4218
"GCA_002717545.1_ASM271754v1_genomic" 2027 2027
"GCA_002721105.1_ASM272110v1_genomic" 2324 2324
"GCA_002709755.1_ASM270975v1_genomic" 2229 2229
"GCA_002709045.1_ASM270904v1_genomic" 3498 3498
"GCA_002723415.1_ASM272341v1_genomic" 1823 1823
"GCA_002721445.1_ASM272144v1_genomic" 1650 1650
"GCA_002702145.1_ASM270214v1_genomic" 3343 3343
"GCA_002697445.1_ASM269744v1_genomic" 4318 4318
"GCA_002701785.1_ASM270178v1_genomic" 1635 1635
"GCA_002698895.1_ASM269889v1_genomic" 4224 4224
"GCA_002700385.1_ASM270038v1_genomic" 2445 2445
"GCA_002697285.1_ASM269728v1_genomic" 3477 3477
"GCA_002704875.1_ASM270487v1_genomic" 1507 1507
"GCA_002711135.1_ASM271113v1_genomic" 2182 2182
"GCA_002700125.1_ASM270012v1_genomic" 1230 1230
"GCA_002701365.1_ASM270136v1_genomic" 1340 1340
"GCA_002702365.1_ASM270236v1_genomic" 3364 3364
"GCA_002697205.1_ASM269720v1_genomic" 3606 3606
"GCA_002710865.1_ASM271086v1_genomic" 4719 4719
"GCA_002703665.1_ASM270366v1_genomic" 3278 3278
"GCA_002701305.1_ASM270130v1_genomic" 2872 2872
"GCA_002697745.1_ASM269774v1_genomic" 4146 4146
"GCA_002698925.1_ASM269892v1_genomic" 1808 1808
"GCA_002696985.1_ASM269698v1_genomic" 3583 3583
"GCA_002700335.1_ASM270033v1_genomic" 2102 2102
"GCA_002701395.1_ASM270139v1_genomic" 5141 5141
"GCA_002698705.1_ASM269870v1_genomic" 1642 1642
"GCA_002704915.1_ASM270491v1_genomic" 4334 4334
"GCA_002698575.1_ASM269857v1_genomic" 4163 4163
"GCA_002711075.1_ASM271107v1_genomic" 1762 1762
"GCA_002699025.1_ASM269902v1_genomic" 7130 7130
"GCA_002705625.1_ASM270562v1_genomic" 1109 1109
"GCA_002699455.1_ASM269945v1_genomic" 2043 2043
"GCA_002705305.1_ASM270530v1_genomic" 2486 2486
"GCA_002699725.1_ASM269972v1_genomic" 2083 2083
"GCA_002697245.1_ASM269724v1_genomic" 3960 3960
"GCA_002711105.1_ASM271110v1_genomic" 2928 2928
"GCA_002711205.1_ASM271120v1_genomic" 2739 2739
"GCA_002701525.1_ASM270152v1_genomic" 1337 1337
"GCA_002697965.1_ASM269796v1_genomic" 1971 1971
"GCA_002701805.1_ASM270180v1_genomic" 1310 1310
"GCA_002699205.1_ASM269920v1_genomic" 4027 4027
"GCA_002699365.1_ASM269936v1_genomic" 1644 1644
"GCA_002697625.1_ASM269762v1_genomic" 1523 1523
"GCA_002698995.1_ASM269899v1_genomic" 3756 3756
"GCA_002702785.1_ASM270278v1_genomic" 2666 2666
"GCA_002702895.1_ASM270289v1_genomic" 1733 1733
"GCA_002701845.1_ASM270184v1_genomic" 4352 4352
"GCA_002699145.1_ASM269914v1_genomic" 4665 4665
"GCA_002702725.1_ASM270272v1_genomic" 3414 3414
"GCA_002699445.1_ASM269944v1_genomic" 2171 2171
"GCA_002702745.1_ASM270274v1_genomic" 1228 1228
"GCA_002700095.1_ASM270009v1_genomic" 5181 5181
"GCA_002705605.1_ASM270560v1_genomic" 1531 1531
"GCA_002699695.2_ASM269969v2_genomic" 1915 1915
"GCA_002702875.1_ASM270287v1_genomic" 1638 1638
"GCA_002698765.1_ASM269876v1_genomic" 1805 1805
"GCA_002700285.1_ASM270028v1_genomic" 2161 2161
"GCA_002699165.1_ASM269916v1_genomic" 1431 1431
"GCA_002698505.1_ASM269850v1_genomic" 2450 2450
"GCA_002702705.1_ASM270270v1_genomic" 5183 5183
"GCA_002697735.1_ASM269773v1_genomic" 4263 4263
"GCA_002697375.1_ASM269737v1_genomic" 4049 4049
"GCA_002698985.1_ASM269898v1_genomic" 3491 3491
"GCA_002698235.1_ASM269823v1_genomic" 1731 1731
"GCA_002698965.1_ASM269896v1_genomic" 4412 4412
"GCA_002699305.1_ASM269930v1_genomic" 5001 5001
"GCA_002702085.1_ASM270208v1_genomic" 2446 2446
"GCA_002702835.1_ASM270283v1_genomic" 3581 3581
"GCA_002705085.1_ASM270508v1_genomic" 1741 1741
"GCA_002700305.1_ASM270030v1_genomic" 3453 3453
"GCA_002702655.1_ASM270265v1_genomic" 5781 5781
"GCA_002699485.1_ASM269948v1_genomic" 1942 1942
"GCA_002697785.1_ASM269778v1_genomic" 4500 4500
"GCA_002701375.1_ASM270137v1_genomic" 3021 3021
"GCA_002702575.1_ASM270257v1_genomic" 2669 2669
"GCA_002705055.1_ASM270505v1_genomic" 3228 3228
"GCA_002699085.1_ASM269908v1_genomic" 1941 1941
"GCA_002697225.1_ASM269722v1_genomic" 3550 3550
"GCA_002704965.1_ASM270496v1_genomic" 1579 1579
"GCA_002701545.1_ASM270154v1_genomic" 5969 5969
"GCA_002711125.1_ASM271112v1_genomic" 1527 1527
"GCA_002699125.1_ASM269912v1_genomic" 6915 6915
"GCA_002701445.1_ASM270144v1_genomic" 3432 3432
"GCA_002702065.1_ASM270206v1_genomic" 6098 6098
"GCA_002698075.1_ASM269807v1_genomic" 2211 2211
"GCA_002703625.1_ASM270362v1_genomic" 7011 7011
"GCA_002698425.1_ASM269842v1_genomic" 5537 5537
"GCA_002705045.2_ASM270504v2_genomic" 2169 2169
"GCA_002701925.1_ASM270192v1_genomic" 1103 1103
"GCA_002701315.1_ASM270131v1_genomic" 5393 5393
"GCA_002701455.1_ASM270145v1_genomic" 2762 2762
"GCA_002700145.1_ASM270014v1_genomic" 4914 4914
"GCA_002701295.1_ASM270129v1_genomic" 3385 3385
"GCA_002701385.1_ASM270138v1_genomic" 3728 3728
"GCA_002700325.1_ASM270032v1_genomic" 5707 5707
"GCA_002701825.1_ASM270182v1_genomic" 2138 2138
"GCA_002700365.1_ASM270036v1_genomic" 2251 2251
"GCA_002711185.1_ASM271118v1_genomic" 1751 1751
"GCA_002699585.1_ASM269958v1_genomic" 5826 5826
"GCA_002705145.1_ASM270514v1_genomic" 2959 2959
"GCA_002697805.1_ASM269780v1_genomic" 3781 3781
"GCA_002705125.1_ASM270512v1_genomic" 2430 2430
"GCA_002698785.1_ASM269878v1_genomic" 5798 5798
"GCA_002698125.1_ASM269812v1_genomic" 2585 2585
"GCA_002700265.1_ASM270026v1_genomic" 3696 3696
"GCA_002710945.1_ASM271094v1_genomic" 3718 3718
"jk18x40bins.16.filtered" 3237 3237
"jk18x40bins.18.filtered" 3399 3399
"jk18x40bins.30.filtered" 2349 2349
"jk18x40bins.50.filtered" 5118 5118
"jk18x44bins.10.filtered" 3105 3105
"jk18x40bins.47.filtered" 2484 2484
"jk18x40bins.26.filtered" 2337 2337
"jk18x44bins.8.filtered" 4691 4691
"jk18x40bins.40.filtered" 3070 3070
"jk18x40bins.9.filtered" 4256 4256
"jk18x40bins.22.filtered" 3935 3935
"jk18x40bins.35.filtered" 4355 4355
"jk18x40bins.27.filtered" 3419 3419
"jk18x40bins.51.filtered" 5127 5127
"jk18x44bins.5.filtered" 3929 3929
"jk18x40bins.8.filtered" 3167 3167
